Specimen_Filename,scientificName,flower_len_cm,flower_len_cm_log,corolla_base_cm,corolla_base_cm_log,corolla_apex_cm,corolla_apex_cm_log,base_apex_ratio,base_apex_ratio_log,degree_curvature,degree_curvature_log,stamen_ex_cm,stamen_ex_cm_log,anther_width_cm,anther_width_cm_log,anther_len_cm,anther_len_cm_log,leaf_area_cm2 ,leaf_area_cm2_log,leaf_len_cm ,leaf_len_cm_log,leaf_width_cm ,leaf_width_cm_log,leaf_len_width_ratio,leaf_len_width_ratio_log,decimallongtitude,decimallatitude
C_alsophilus_MO-1290271,C_alsophilus,3.491,0.542949849,0.6515,-0.18608558,1.136,0.055378331,0.573503521,-0.241463911,122.9685,2.089793875,1.222,0.087071206,0.325,-0.488116639,0.912,-0.040005162,117.806,2.07116741,23.393,1.369085921,7.295,0.863025296,3.206716929,0.506060625,-77.6,-1.066667
C_alsophilus_MO-1290274,C_alsophilus,3.1565,0.499205794,0.5,-0.301029996,0.6665,-0.176199846,0.750187547,-0.124830149,165.036,2.217578689,1.4045,0.147521744,0.318,-0.49757288,0.972,-0.012333735,50.6915,1.704935143,14.0565,1.147877197,5.181,0.714413592,2.713086277,0.433463605,-78.866667,-3.966667
C_alsophilus_MO-1290275,C_alsophilus,2.249,0.351989455,0.519,-0.284832642,0.72,-0.142667504,0.720833333,-0.142165139,148.8535,2.172759051,0.8855,-0.052811434,0.2575,-0.589222767,0.682,-0.166215625,43.0885,1.634361376,10.6945,1.029160485,5.6025,0.748381865,1.908879964,0.28077862,-76.95,-6.033333
C_alsophilus_MO-1290276,C_alsophilus,5.0075,0.699620958,0.561,-0.251037139,0.6195,-0.207958689,0.905569007,-0.043078449,153.4725,2.186030568,0.501,-0.300162274,0.24,-0.619788758,0.42,-0.37675071,91.573,1.961767442,17.478,1.242491735,7.062,0.848927713,2.474936279,0.393564022,-76.466667,-2.8
C_alsophilus_MO-1290278,C_alsophilus,3.0445,0.483515978,0.497,-0.303643611,0.695,-0.158015195,0.715107914,-0.145628416,135.412,2.131657153,0.5545,-0.25609845,0.1315,-0.881074247,0.4245,-0.372122305,62.4075,1.795236785,15.802,1.198712057,5.6715,0.753697936,2.786211761,0.445014121,N/A,N/A
C_alsophilus_MO-1290280,C_alsophilus,3.571,0.55278985,0.476,-0.322393047,0.661,-0.179798541,0.720121029,-0.142594507,152.608,2.183577301,0.6,-0.22184875,0.19,-0.721246399,0.6,-0.22184875,60.277,1.780151629,14.961,1.174960623,5.7415,0.759025369,2.605765044,0.415935254,N/A,N/A
C_alsophilus_MO-1290281,C_alsophilus,3.55,0.550228353,0.4805,-0.318306608,0.5205,-0.283579266,0.923150817,-0.034727342,141.5435,2.15088993,N/A,N/A,N/A,N/A,N/A,N/A,12.9735,1.113057156,7.979,0.901948465,2.11,0.324282455,3.781516588,0.57766601,N/A,N/A
C_alsophilus_MO-1290283,C_alsophilus,3.6765,0.56543457,0.529,-0.276544328,0.8705,-0.060231225,0.607696726,-0.216313103,151.2835,2.179791564,0.853,-0.069050969,0.256,-0.591760035,0.705,-0.151810883,101.257,2.005425056,22.014,1.342698962,6.741,0.828724327,3.265687583,0.513974635,-76.416667,-2.916667
C_alsophilus_MO-1290284,C_alsophilus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,117.974,2.071786305,21.37,1.329804522,7.7425,0.888881214,2.76009041,0.440923308,-76.866667,-0.833333
C_alsophilus_MO-1982171,C_alsophilus,3.657,0.56312496,0.643,-0.191789027,1.1035,0.042772337,0.582691436,-0.234561365,154.5725,2.189132231,1.092,0.038222638,0.369,-0.432973634,0.829,-0.081445469,79.339,1.899486722,15.7815,1.19814828,7.145,0.854002233,2.208747376,0.344146047,-78.425833,-3.528056
C_alsophilus_MO-1982174,C_alsophilus,3.3365,0.523291129,0.5715,-0.242983765,0.7435,-0.128719027,0.768661735,-0.114264738,153.172,2.185179383,1.2395,0.093246531,0.3035,-0.517841305,0.7945,-0.099906098,91.392,1.960908181,16.519,1.217983753,8.386,0.923554858,1.96983067,0.294428895,-78.66666667,-4.35
C_alsophilus_MO-2021738,C_alsophilus,3.661,0.563599729,0.323,-0.490797478,1.049,0.020775488,0.307912297,-0.511572966,139.803,2.145516491,1.257,0.099335278,0.476,-0.322393047,1.151,0.061075324,113.2775,2.054143656,22.2375,1.347085961,8.07,0.906873535,2.755576208,0.440212426,-77.6,-1.45
C_alsophilus_MO-2135592,C_alsophilus,3.6465,0.561876218,0.465,-0.332547047,0.671,-0.17327748,0.692995529,-0.159269567,150.759,2.178283248,1.3455,0.128883702,0.2465,-0.608183076,0.7595,-0.119472222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-78.4527777,-3.53194444
C_baezanus_MO-1190887,C_baezanus,3.2845,0.516469266,0.334,-0.476253533,1.004,0.001733713,0.332669323,-0.477987246,134.0865,2.127385055,1.52,0.181843588,0.19,-0.721246399,1.0865,0.036029731,50.7545,1.705474554,12.0315,1.080319775,5.9945,0.777752965,2.007089832,0.302566811,-76.0139,-9.34917
C_baezanus_MO-1190916,C_baezanus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.4995,1.848186037,14.621,1.164977077,7.4715,0.873407801,1.956902898,0.291569276,N/A,N/A
C_baezanus_MO-1190917,C_baezanus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.392,1.595408031,12.268,1.088773767,4.48,0.651278014,2.738392857,0.437495753,-77.9333,-0.25
C_baezanus_MO-1190918,C_baezanus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.663,1.552217874,10.552,1.023334783,5.306,0.724767246,1.988692047,0.298567537,-77.9167,-0.68333
C_baezanus_MO-1190919,C_baezanus,3.461,0.539201599,0.824,-0.084072788,0.96,-0.017728767,0.858333333,-0.066344021,127.928,2.10696561,1.477,0.169380495,0.342,-0.465973894,0.978,-0.009661145,67.207,1.82741451,15.087,1.17860289,6.7155,0.827078353,2.246593701,0.351524537,-77.65,-0.18333
C_baezanus_MO-1190920,C_baezanus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.341,1.48202989,8.9215,0.95043788,4.9205,0.692009236,1.813128747,0.258428644,-77.9333,-0.6
